Likes,Date,Location,Location_coord,Grid_coord,Post_url
184.0,2021-12-14 18:58:03,角落大院 Corner Studio,"(25.10554, 121.31558)","(25.1, 121.32)",https://www.instagram.com/p/CXdfMI7PMtA
241.0,2021-12-14 19:58:02,植蘊,"(25.07056, 121.51931)","(25.08, 121.52)",https://www.instagram.com/p/CXdmDh0vpAD
232.0,2021-12-12 23:54:04,溫暖的家,"(25.0795391543, 121.4634868765)","(25.08, 121.46)",https://www.instagram.com/p/CXY3edwPSfe
38.0,2021-12-12 02:02:30,Mitsui Outlet Park 林口,"(25.0703060583, 121.3651887947)","(25.08, 121.36)",https://www.instagram.com/p/CXWhYOxvIi6
8.0,2021-12-12 20:28:02,新北耶誕城,"(25.05020615, 121.59259317)","(25.06, 121.6)",https://www.instagram.com/p/CXYf5b-PbCG
490.0,2021-12-14 01:01:30,銘傳台北校區,"(25.0616713559, 121.5276140767)","(25.06, 121.52)",https://www.instagram.com/p/CXbj_TBPPD7
196.0,2021-12-13 18:36:13,台北-東區,"(25.0549986, 121.5258512)","(25.06, 121.52)",https://www.instagram.com/p/CXa35XbPMhk
140.0,2021-12-14 20:51:07,中山站商圈,"(25.0523695, 121.5217083333)","(25.06, 121.52)",https://www.instagram.com/p/CXdsITdvcJb
122.0,2021-12-13 16:12:58,花博公園舞蝶館,"(25.0693657194, 121.5241155423)","(25.06, 121.52)",https://www.instagram.com/p/CXangL_PkeJ
20.0,2021-12-12 01:07:58,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXWbI0EP3MN
158.0,2021-12-12 21:15:59,宏匯廣場,"(25.059806004, 121.4495474397)","(25.06, 121.44)",https://www.instagram.com/p/CXYlYmHP6Ho
153.0,2021-12-12 00:00:08,台茂購物中心 TaiMall Shopping Center,"(25.0531719287, 121.2884107232)","(25.06, 121.28)",https://www.instagram.com/p/CXWTYA8P6cC
117.0,2021-12-14 19:25:07,新北耶誕城,"(25.0420356, 121.6210036)","(25.04, 121.62)",https://www.instagram.com/p/CXdiSU8IvyN
4143.0,2021-12-14 20:30:30,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXdpxPPPMPK
1125.0,2021-12-12 07:29:42,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXXG0wnBJte
771.0,2021-12-13 18:40:18,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXa4XQOPfgQ
550.0,2021-12-13 10:00:02,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXZ80tavtvW
501.0,2021-12-14 19:50:12,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXdlKIavAy4
460.0,2021-12-12 22:07:55,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)","(25.04, 121.56)",https://www.instagram.com/p/CXYrVDgvZFO
380.0,2021-12-13 18:41:40,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXa4hRUPXlO
321.0,2021-12-12 11:35:15,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXXi7NGlsFe
274.0,2021-12-13 22:13:48,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXbQy-hvMEZ
208.0,2021-12-14 22:37:04,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXd4QTkPyl8
139.0,2021-12-12 20:48:29,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXYiPLtvm99
136.0,2021-12-12 21:28:52,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXYm3AXv7rt
133.0,2021-12-13 10:54:07,Camino 歐式實景攝影棚,"(25.0486498639, 121.5631018136)","(25.04, 121.56)",https://www.instagram.com/p/CXaDA4UPw5k
127.0,2021-12-13 03:20:25,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXZPF0zhe7P
23.0,2021-12-13 10:30:38,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXaAU5NPoZG
12.0,2021-12-12 13:10:25,新光三越香堤廣場,"(25.03597, 121.56746)","(25.04, 121.56)",https://www.instagram.com/p/CXXt0QkPtvz
3.0,2021-12-12 21:33:36,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXYnZuiBIuR
277.0,2021-12-14 20:54:12,PM Flowers,"(25.04857, 121.5323)","(25.04, 121.54)",https://www.instagram.com/p/CXdse4IFKel
186.0,2021-12-12 22:33:39,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXYuRgvvS0d
104.0,2021-12-14 12:53:00,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXc1aa2FIln
258.0,2021-12-13 22:34:39,勤美誠品百貨,"(25.04328531, 121.50731104)","(25.04, 121.5)",https://www.instagram.com/p/CXbTLqkPPP2
165.0,2021-12-12 15:26:09,鴨鴨公園,"(25.0485018406, 121.4904910171)","(25.04, 121.5)",https://www.instagram.com/p/CXX9WVrvNbg
12.0,2021-12-13 17:02:03,西門町,"(25.0458282261, 121.5056920425)","(25.04, 121.5)",https://www.instagram.com/p/CXatHo3lOcb
189.0,2021-12-13 12:29:31,聖誕快樂天氣冷了要保重喔,"(25.038344, 121.4563434)","(25.04, 121.46)",https://www.instagram.com/p/CXaN7hCpSTW
115.0,2021-12-13 22:45:57,Taipei,"(25.029359, 121.552595)","(25.02, 121.56)",https://www.instagram.com/p/CXbUeZvNU94
32.0,2021-12-12 22:35:15,通化街(臨江)夜市,"(25.0295065598, 121.5570454677)","(25.02, 121.56)",https://www.instagram.com/p/CXYudMqvbcn
194.0,2021-12-13 23:23:49,Shangri-La Taipei 台北遠東香格里拉,"(25.0266797106, 121.5493408361)","(25.02, 121.54)",https://www.instagram.com/p/CXbYzxOPrmq
783.0,2021-12-12 17:05:52,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXYIwxzFXp2
371.0,2021-12-13 16:02:41,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXamUzuFwkJ
182.0,2021-12-12 20:11:06,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXYd9e8vNkT
134.0,2021-12-12 22:20:58,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXYs0myBteb
3.0,2021-12-14 21:23:34,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXdv17MBFkM
3.0,2021-12-13 20:32:04,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXbFJ6ZhGcX
676.0,2021-12-14 20:45:55,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXdriPHP2bZ
423.0,2021-12-13 19:50:29,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXbAZTEPalh
318.0,2021-12-13 23:21:50,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXbYlUnvGV3
295.0,2021-12-14 10:07:25,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXcidt2lIoJ
214.0,2021-12-14 20:03:18,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXdmp_iPJ-e
196.0,2021-12-14 00:52:35,2021新北市歡樂耶誕城,"(25.01208, 121.46562)","(25.02, 121.46)",https://www.instagram.com/p/CXbi95XhVex
121.0,2021-12-12 23:56:44,板橋市政府 新北耶誕城,"(25.0135340323, 121.4644479901)","(25.02, 121.46)",https://www.instagram.com/p/CXY3x9dvgCh
52.0,2021-12-12 10:38:42,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXXcdAThrci
329.0,2021-12-13 21:09:06,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXbJZDFvCjU
309.0,2021-12-14 19:59:38,橫山書法藝術館/桃園市立美術館,"(25.0210399195, 121.2183587779)","(25.02, 121.22)",https://www.instagram.com/p/CXdmPJhvkql
140.0,2021-12-12 20:45:08,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXYh2pgJLnu
64.0,2021-12-13 10:30:56,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXaAXDRBdNT
33.0,2021-12-13 01:01:43,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXY_N8KB9nZ
3.0,2021-12-12 20:02:00,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXYc6vHv-31
361.0,2021-12-12 13:13:26,金采攝影棚/攝影棚出租/活動紀錄/形象照/攝影活動,"(25.0021877814, 121.4615294122)","(25.0, 121.46)",https://www.instagram.com/p/CXXuKUTLz8-
112.0,2021-12-14 19:11:53,Happy Tail Workshop,"(24.9925781271, 121.2858981573)","(25.0, 121.28)",https://www.instagram.com/p/CXdgxg2vYX6
7.0,2021-12-12 20:20:20,大江國際購物中心Metro Walk,"(24.9835684649, 121.2198829651)","(24.98, 121.22)",https://www.instagram.com/p/CXYfBCPBdVU
399.0,2021-12-13 21:04:17,New Taipei City,"(24.9601, 121.4323)","(24.96, 121.44)",https://www.instagram.com/p/CXbI1yCPWBa
420.0,2021-12-13 20:36:51,六福村主題遊樂園,"(24.821058232, 121.1822051252)","(24.82, 121.18)",https://www.instagram.com/p/CXbFs59veK_
279.0,2021-12-12 12:30:43,六福村主題遊樂園,"(24.821058232, 121.1822051252)","(24.82, 121.18)",https://www.instagram.com/p/CXXpRfdp51j
18.0,2021-12-13 19:56:04,六福村主題遊樂園,"(24.821058232, 121.1822051252)","(24.82, 121.18)",https://www.instagram.com/p/CXbBCJFvVs-
4551.0,2021-12-13 22:13:52,Big City遠東巨城購物中心,"(24.8098172855, 120.97484103)","(24.8, 120.98)",https://www.instagram.com/p/CXbQzaqp32L
2125.0,2021-12-12 20:27:56,聖誕快樂哦: ),"(24.73792106, 121.16129915)","(24.74, 121.16)",https://www.instagram.com/p/CXYf4voJF-4
511.0,2021-12-14 21:45:57,中央公園 Taichung Central Park,"(24.17948, 120.6561)","(24.18, 120.66)",https://www.instagram.com/p/CXdyZ2PvZpB
177.0,2021-12-14 11:34:51,聖誕快樂；啾咪<3,"(24.1728805, 120.6691445)","(24.18, 120.66)",https://www.instagram.com/p/CXcseFPPqxq
1002.0,2021-12-14 18:00:11,水湳-中央公園,"(24.1832379462, 120.648252571)","(24.18, 120.64)",https://www.instagram.com/p/CXdYkSYLP9e
143.0,2021-12-12 21:41:53,潛立方旅館（潛水旅館）Divecube Hotel,"(24.17604, 120.62109)","(24.18, 120.62)",https://www.instagram.com/p/CXYoWYRvUf_
227.0,2021-12-14 07:37:59,心之芳庭,"(24.1619173946, 120.7665561201)","(24.16, 120.76)",https://www.instagram.com/p/CXcRXNpv7Ra
213.0,2021-12-14 19:54:31,心之芳庭,"(24.1619173946, 120.7665561201)","(24.16, 120.76)",https://www.instagram.com/p/CXdlprKPRlH
3.0,2021-12-12 11:13:46,心之芳庭,"(24.1619173946, 120.7665561201)","(24.16, 120.76)",https://www.instagram.com/p/CXXgd7RP10Z
402.0,2021-12-14 18:40:21,台中 中友百貨,"(24.1522890809, 120.6849147869)","(24.16, 120.68)",https://www.instagram.com/p/CXddKeZl66x
34.0,2021-12-13 16:54:05,台中 中友百貨,"(24.1522890809, 120.6849147869)","(24.16, 120.68)",https://www.instagram.com/p/CXasNQTJkH1
324.0,2021-12-14 18:05:37,勤美 誠品綠園道,"(24.1509143068, 120.6637993455)","(24.16, 120.66)",https://www.instagram.com/p/CXdZMKhvuUm
269.0,2021-12-12 12:18:13,廣三SOGO百貨,"(24.15528, 120.66178)","(24.16, 120.66)",https://www.instagram.com/p/CXXn19OLPza
