Location,Location_coord,rating,Post_url
凱林鐵板燒信義威秀店,"(25.0352187, 121.5672369)",4.1,https://www.instagram.com/p/Bu8BtP4hDTG/
BELLINIPastaPasta台北信義威秀店,"(25.0352187, 121.5672369)",4.3,https://www.openstreetmap.org/copyright/
頂鮮台南擔仔麵台北101店DingXianTaipei,"(25.033976, 121.5645389)",4.7,https://www.instagram.com/p/CVVBV8SsiQW/
隨意鳥地方101觀景餐廳求婚生日尾牙婚宴景觀夜景牛排餐廳推薦,"(25.0335715, 121.5649428)",4.1,https://www.instagram.com/p/CVkrkbRPygN/
鼎泰豐101店,"(25.03346, 121.5644841)",4.5,https://www.instagram.com/p/CO5JpGqgRAA/
自如清庵,"(25.017929, 121.212957)",4.4,https://www.instagram.com/p/B-_5wDDpTBK/
Cozzi Market 逸·市集,"(25.0178407, 121.2137302)",4.3,https://www.instagram.com/p/CXaMpwkl7Ye/
Blu Bar,"(25.0178407, 121.2137302)",5.0,https://www.instagram.com/p/CXx8p17IBjE/
Yi Hui Xuan 逸薈軒,"(25.0178407, 121.2137302)",4.2,https://www.instagram.com/p/CXaMpwkl7Ye/
合點壽司 がってん寿司 華泰店,"(25.0177236, 121.2162838)",4.1,https://www.instagram.com/p/B9hCeKmHy49/
秋風軒鍋物 華泰店,"(25.0174772, 121.2156759)",4.5,https://www.instagram.com/p/CV6nfrMhZ7E/
Texas Roadhouse 德州鮮切牛排 新光店,"(25.0168902, 121.212709)",4.4,https://www.instagram.com/p/CX0s79Ql5Jf/
MAGiC TOUCH点爭鮮-青埔新光店,"(25.0168058, 121.2133776)",4.7,https://www.instagram.com/p/CIp0Vg4HnEv/
這一小鍋 桃園新光青埔店,"(25.0167833, 121.213385)",4.2,https://www.instagram.com/p/CIcsaL-HqYj/
武三碗不過岡,"(25.0167718, 121.2134139)",4.8,https://www.instagram.com/p/CWk0aDpMxcP/
林記溫體蔬菜羊肉,"(25.0162079, 121.4663279)",4.2,https://www.instagram.com/p/voAj_YQm_o/
Big Pier 大碼頭美式手抓海鮮餐廳,"(25.0162028, 121.214573)",4.2,https://www.instagram.com/p/BxZpopOASjE/
友Q牛肉麵,"(25.0161584, 121.2130842)",4.4,https://www.instagram.com/p/CVkc1Covk1y/
小蒙牛頂級麻辣養生火鍋吃到飽Hotpot-（烤）板橋店,"(25.0157974, 121.4623143)",4.3,https://www.instagram.com/p/CXDfcJiPbtB/
順億鮪魚專賣店-板橋店,"(25.015572, 121.4674791)",4.4,https://www.instagram.com/p/B_z2gZygF8Z/
日日蔗HISATOUKIBI形象概念店,"(25.0154823, 121.2129035)",4.6,https://www.instagram.com/p/CXxXTcDPJi4/
Mövenpick Café-莫凡彼桃園華泰店,"(25.0150957, 121.2144367)",4.5,https://www.instagram.com/p/CWqz5LVBxlg/
TGI FRIDAYS 星期五美式餐廳 華泰餐廳,"(25.0148961, 121.2133679)",4.1,https://www.instagram.com/p/CPHvi-GrbY7/
涓豆腐 桃園華泰店,"(25.0145382, 121.2127909)",4.1,https://www.instagram.com/p/BxJUpGVga3K/
JK STUDIO 義法餐廳│桃園餐廳│戰斧牛排│戰斧豬排│約會│聚餐│包場,"(25.0145382, 121.2127909)",4.4,https://www.instagram.com/p/CXzkFr0PIbd/
大河屋 燒肉丼 串燒-華泰名品城店,"(25.0145382, 121.2127909)",4.8,https://www.instagram.com/p/CXzp7jVPG2b/
祥發養生蔬菜排骨麵食館 板橋美食&餐廳&小吃,"(25.0144534, 121.4678481)",4.4,https://www.instagram.com/p/ByP93hKniYU/
金色三麥 板橋大遠百店,"(25.013651, 121.466765)",4.1,https://www.instagram.com/p/CWLeV2zFNZd/
鼎泰豐 板橋店,"(25.0135467, 121.4667508)",4.5,https://www.instagram.com/p/CO5JpGqgRAA/
IKEA瑞典餐廳 桃園店,"(25.0130423, 121.2176772)",4.2,https://www.instagram.com/p/CTBbKdPpFDj/
望月樓,"(25.0130279, 121.4669529)",4.1,https://www.instagram.com/p/CXvAYc_jCZR/
IKEA宜家家居 桃園店,"(25.0129593, 121.2175658)",4.3,https://www.instagram.com/p/CUkRIuTJ6bh/
新北市政府員工餐廳,"(25.012394, 121.465286)",4.1,https://www.instagram.com/p/CR3JID5KVST/
藝奇 日本料理岩板燒 板橋麗寶店,"(25.01235609999999, 121.4619611)",4.6,https://www.instagram.com/p/CUUMP_jvnWv/
典藏33觀景餐廳,"(25.0122763, 121.4655369)",4.1,https://www.instagram.com/p/CXi2ZoUrgQZ/
六必居潮州一品沙鍋粥中山總店/板橋美食/新北美食,"(25.0118142, 121.4659919)",4.2,https://www.instagram.com/p/CU3Gs6SBSnq/
涮乃葉板橋遠百中山店,"(25.0109601, 121.4644536)",4.1,https://www.instagram.com/p/B-UDj5cn1y0/
齊味麻辣鴛鴦鍋,"(25.01095919999999, 121.4619384)",4.1,https://www.instagram.com/p/CGsC2jinnd9/
Merci cafe',"(25.010337, 121.4634209)",4.2,https://www.instagram.com/p/CXqXHMHvo6c/
六必居潮州一品沙鍋粥 民權店,"(25.0099118, 121.4629108)",4.3,https://www.instagram.com/p/CMtGCGzFXAb/
美國大西部牛排館,"(24.8252393, 121.1806029)",4.2,https://www.instagram.com/p/CVvgocfh2co/
金鳳樓,"(24.8220225, 121.1840161)",4.4,https://www.instagram.com/p/CLyo4nCJys-/
elite deli,"(24.8203577, 121.1821931)",4.8,https://www.instagram.com/p/CXwskrQIBCO/
Mövenpick Café- 莫凡彼台中麗寶店,"(24.3267639, 120.7028309)",4.3,https://www.instagram.com/p/B_HiDwFjVJ3/
港點大師 台中麗寶店 天然無添加｜大閘蟹｜小龍蝦,"(24.3266158, 120.7024684)",4.1,https://www.instagram.com/p/CTbp2y1h17P/
涓豆腐 台中麗寶店,"(24.3252575, 120.7005913)",4.1,https://www.instagram.com/p/CO54XFHDgyW/
大心新泰式麵食 - 台中麗寶店,"(24.324899, 120.70078)",4.1,https://www.instagram.com/p/CMee5cTAey-/
麗寶Outlet Mall,"(24.3245903, 120.6993847)",4.1,https://www.instagram.com/p/CXp2n8pvauP/
燒肉同話 台中麗寶店,"(24.324537, 120.700018)",4.3,https://www.instagram.com/p/CPITJNJBRIu/
這一小鍋 台中麗寶店,"(24.324333, 120.699834)",4.4,https://www.instagram.com/p/CDF78eEjeTB/
星野肉肉鍋PLUS-台中麗寶OUTLET店,"(24.3242977, 120.6991781)",4.3,https://www.instagram.com/p/CNY546PJeT7/
韓姜熙의小廚房 台中麗寶店,"(24.3242977, 120.6991781)",4.2,https://www.instagram.com/p/CXs9RA5lnKN/
麗寶福容大飯店 順園日式料理,"(24.3238843, 120.6968897)",4.8,https://www.instagram.com/p/CSIzHe4B2Ba/
麗寶福容大飯店 福粵樓,"(24.32364669999999, 120.6965099)",4.2,https://www.instagram.com/p/B_9fqqUgRqh/
麗寶福容大飯店 田園咖啡廳,"(24.3234903, 120.6961183)",4.5,https://www.instagram.com/p/CSIzHe4B2Ba/
亮宅Brunch,"(24.3217221, 120.7012426)",4.1,https://www.instagram.com/p/BvrSVMlnRPX/
激旨燒き鳥Gekiuma Yakitori 台灣總店,"(24.1830783, 120.6466695)",4.2,https://www.instagram.com/p/CXnY8P7Pa59/
HUN 貳,"(24.1827554, 120.6461151)",4.5,https://www.instagram.com/p/Bm5BR1VnT-O/
腦子有丼,"(24.1822676, 120.6462584)",4.3,https://www.instagram.com/p/Bf7dr4Vlhlj/
幸福月台,"(24.1819551, 120.6462527)",4.4,https://www.instagram.com/p/CWcxBdZBJSJ/
豫春園麵食館,"(24.1818467, 120.6460841)",4.2,https://www.instagram.com/p/CUDCh7LBubv/
米嵐義大利麵,"(24.1818104, 120.6456733)",4.1,https://www.instagram.com/p/CBSwxtaDNkf/
逢甲養機場,"(24.181797, 120.644607)",4.1,https://www.instagram.com/p/Buhz1elAyIS/
心蛋餅,"(24.178998, 120.645526)",4.3,https://www.instagram.com/p/Bl9f8ffl1Ty/
逢甲滑蛋三明治壽司早餐店,"(24.1781114, 120.646392)",4.3,https://www.instagram.com/p/BP98RaBlHwL/
逢甲滑蛋早餐店,"(24.1778183, 120.6466185)",4.4,https://www.instagram.com/p/COOUekxhIIu/
大甲芋頭城,"(24.1778084, 120.6453544)",4.1,https://www.instagram.com/p/CODP4CYljDk/
Mini布朗,"(24.1774317, 120.6427219)",4.1,https://www.instagram.com/p/CUtlqeKJ6Ub/
Mr.38 咖哩美食餐廳（逢甲店）,"(24.1770776, 120.6433493)",4.5,https://www.instagram.com/p/CLgHs95sfiO/
那個鍋 - 逢甲総本鋪,"(24.1768659, 120.645009)",4.2,https://www.instagram.com/p/CVcK5FXlYIF/
Cafe Buddha 佈達咖啡,"(24.1767077, 120.645479)",4.2,https://www.instagram.com/p/CUHrQ4zpFHL/
三號創意料理廚房,"(24.1767052, 120.6450434)",4.7,https://www.instagram.com/p/CJvXkSsMc8G/
蜜方 Sweet Cube,"(24.176664, 120.645557)",5.0,https://www.instagram.com/p/BKLVPPxAQTe/
鶯越式泰式美食,"(24.1765792, 120.6472142)",4.2,https://www.instagram.com/p/CL8cqdYjFr4/
現烤活蝦,"(24.1764553, 120.6465159)",4.5,https://www.instagram.com/p/CR8vn4JnsqS/
98義大利PASTA,"(24.1763756, 120.6450908)",4.3,https://www.instagram.com/p/COeshFJD_oe/
阿宏東山鴨頭,"(24.1762831, 120.6451615)",4.1,https://www.instagram.com/p/Bv13TZmAj9t/
⿊輪美,"(24.1757529, 120.6454455)",4.8,https://www.instagram.com/p/CXnd3lmvPLp/
小寶泡菜醬料雞排,"(24.175452, 120.644767)",4.2,https://www.instagram.com/p/CLE3ManB9B7/
小西藏,"(24.175309, 120.64681)",4.3,https://www.instagram.com/p/CAmL4QAH5Oc/
吉品鐵板燒-台中逢甲福星店,"(24.1752724, 120.6461383)",4.2,https://www.instagram.com/p/CTMpYnchMC4/
南洋廚坊,"(24.1751533, 120.6455858)",4.6,https://www.instagram.com/p/CW5B163vUyY/
屋馬燒肉中港店,"(24.1657555, 120.6445358)",4.4,https://www.instagram.com/p/CWQkH1XBd7y/
吉比鮮釀餐廳 - 台中店,"(24.1652572, 120.6437083)",4.3,https://www.instagram.com/p/CHCrv4ulPz3/
丸亀製麵 新光三越台中中港店 烏龍麵餐廳,"(24.1652572, 120.6437083)",4.2,https://www.instagram.com/p/CMjzPBiBina/
301 Boulevard 301大道,"(24.165257, 120.643708)",4.2,https://www.instagram.com/p/CXSxO96l4mH/
台中乾杯 中港店,"(24.1652119, 120.6439377)",4.3,https://www.instagram.com/p/CXLNGewJgkA/
新堂洞 韓式料理,"(24.1648631, 120.6447169)",5.0,https://www.instagram.com/p/Bpw9s3lh4UO/
大心新泰式麵食 - 台中新光三越店,"(24.1648092, 120.6432316)",4.1,https://www.instagram.com/p/CMee5cTAey-/
